Ano,Mes,Codigo_IBGE,Municipio_Nome,Obitos
2020,Agosto,130020,ATALAIA DO NORTE,0.0
2020,Agosto,130030,AUTAZES,0.0
2020,Agosto,130040,BARCELOS,1.0
2020,Agosto,130050,BARREIRINHA,3.0
2020,Agosto,130060,BENJAMIN CONSTANT,0.0
2020,Agosto,130068,BOA VISTA DO RAMOS,1.0
2020,Agosto,130070,BOCA DO ACRE,1.0
2020,Agosto,130080,BORBA,0.0
2020,Agosto,130083,CAAPIRANGA,0.0
2020,Agosto,130090,CANUTAMA,1.0
2020,Agosto,130100,CARAUARI,1.0
2020,Agosto,130110,CAREIRO,0.0
2020,Agosto,130115,CAREIRO DA VARZEA,1.0
2020,Agosto,130120,COARI,0.0
2020,Agosto,130130,CODAJAS,0.0
2020,Agosto,130140,EIRUNEPE,2.0
2020,Agosto,130150,ENVIRA,0.0
2020,Agosto,130160,FONTE BOA,1.0
2020,Agosto,130165,GUAJARA,0.0
2020,Agosto,130170,HUMAITA,0.0
2020,Agosto,130180,IPIXUNA,1.0
2020,Agosto,130185,IRANDUBA,1.0
2020,Agosto,130190,ITACOATIARA,3.0
2020,Agosto,130195,ITAMARATI,0.0
2020,Agosto,130200,ITAPIRANGA,0.0
2020,Agosto,130220,JURUA,0.0
2020,Agosto,130230,JUTAI,0.0
2020,Agosto,130240,LABREA,3.0
2020,Agosto,130250,MANACAPURU,3.0
2020,Agosto,130255,MANAQUIRI,0.0
2020,Agosto,130260,MANAUS,58.0
2020,Agosto,130270,MANICORE,1.0
2020,Agosto,130280,MARAA,0.0
2020,Agosto,130290,MAUES,0.0
2020,Agosto,130300,NHAMUNDA,0.0
2020,Agosto,130310,NOVA OLINDA DO NORTE,0.0
2020,Agosto,130320,NOVO AIRAO,0.0
2020,Agosto,130330,NOVO ARIPUANA,0.0
2020,Agosto,130340,PARINTINS,4.0
2020,Agosto,130350,PAUINI,0.0
2020,Agosto,130353,PRESIDENTE FIGUEIREDO,0.0
2020,Agosto,130356,RIO PRETO DA EVA,0.0
2020,Agosto,130360,SANTA ISABEL DO RIO NEGRO,0.0
2020,Agosto,130370,SANTO ANTONIO DO ICA,0.0
