year;areakm;municipality;geocode_ibge;state
2017;0,035637913777275224;Barcelos;1300409;Amazonas
2018;0,035637913777275224;Barcelos;1300409;Amazonas
2019;0,03545179251356813;Barcelos;1300409;Amazonas
2020;0,04148981453375254;Barcelos;1300409;Amazonas
2021;0,02764983943978383;Barcelos;1300409;Amazonas
2022;0,010049660857134964;Barcelos;1300409;Amazonas
2023;0,03925878712583758;Barcelos;1300409;Amazonas
2000;32,77293913575182;Barreirinha;1300508;Amazonas
2001;3,5754573708209594;Barreirinha;1300508;Amazonas
2002;3,5754573708209594;Barreirinha;1300508;Amazonas
2003;1,5175744221927423;Barreirinha;1300508;Amazonas
2004;1,5175744221927423;Barreirinha;1300508;Amazonas
2005;2,0930714855948604;Barreirinha;1300508;Amazonas
2006;2,0930714855948604;Barreirinha;1300508;Amazonas
2007;0,5741205784296866;Barreirinha;1300508;Amazonas
2008;0,5741205784296866;Barreirinha;1300508;Amazonas
2009;0,7082317483709543;Barreirinha;1300508;Amazonas
2010;0,7082317483709543;Barreirinha;1300508;Amazonas
2011;0,5323175891949974;Barreirinha;1300508;Amazonas
2012;0,5323175891949974;Barreirinha;1300508;Amazonas
2013;0,5323175891949974;Barreirinha;1300508;Amazonas
2014;1,3916039239934503;Barreirinha;1300508;Amazonas
2015;0,23218291467906021;Barreirinha;1300508;Amazonas
2016;0,23218291467906021;Barreirinha;1300508;Amazonas
2017;0,2706303220049891;Barreirinha;1300508;Amazonas
2018;0,2706303220049891;Barreirinha;1300508;Amazonas
2019;0,8622195657168392;Barreirinha;1300508;Amazonas
2020;2,183244195510642;Barreirinha;1300508;Amazonas
2021;0,6473399574482392;Barreirinha;1300508;Amazonas
2022;1,2818795741387492;Barreirinha;1300508;Amazonas
2023;0,891657431563808;Barreirinha;1300508;Amazonas
2000;0;Benjamin Constant;1300607;Amazonas
2001;0;Benjamin Constant;1300607;Amazonas
2002;0;Benjamin Constant;1300607;Amazonas
2003;0;Benjamin Constant;1300607;Amazonas
2004;0;Benjamin Constant;1300607;Amazonas
2005;0;Benjamin Constant;1300607;Amazonas
2006;0;Benjamin Constant;1300607;Amazonas
2007;0;Benjamin Constant;1300607;Amazonas
2008;0;Benjamin Constant;1300607;Amazonas
2009;0;Benjamin Constant;1300607;Amazonas
2010;0;Benjamin Constant;1300607;Amazonas
2011;0;Benjamin Constant;1300607;Amazonas
2012;0;Benjamin Constant;1300607;Amazonas
2013;0;Benjamin Constant;1300607;Amazonas
2014;0;Benjamin Constant;1300607;Amazonas
2015;0;Benjamin Constant;1300607;Amazonas
2016;0;Benjamin Constant;1300607;Amazonas
2017;0;Benjamin Constant;1300607;Amazonas
2018;0;Benjamin Constant;1300607;Amazonas
2019;0;Benjamin Constant;1300607;Amazonas
2020;0;Benjamin Constant;1300607;Amazonas
2021;0;Benjamin Constant;1300607;Amazonas
2022;0;Benjamin Constant;1300607;Amazonas
2023;0;Benjamin Constant;1300607;Amazonas
2000;0,4749555236581114;Beruri;1300631;Amazonas
2001;0,1960176227793932;Beruri;1300631;Amazonas
2002;0,1960176227793932;Beruri;1300631;Amazonas
2003;0,010702282806212082;Beruri;1300631;Amazonas
2004;0,010702282806212082;Beruri;1300631;Amazonas
2005;0,01659407127276249;Beruri;1300631;Amazonas
2006;0,01659407127276249;Beruri;1300631;Amazonas
2007;0,02889350465446791;Beruri;1300631;Amazonas
2008;0,02889350465446791;Beruri;1300631;Amazonas
2009;0,062225360933491874;Beruri;1300631;Amazonas
2010;0,062225360933491874;Beruri;1300631;Amazonas
2011;0,06911695865072692;Beruri;1300631;Amazonas
2012;0,06911695865072692;Beruri;1300631;Amazonas
2013;0,06911695865072692;Beruri;1300631;Amazonas
2014;0,044389738435137424;Beruri;1300631;Amazonas
2015;0,14757596818708318;Beruri;1300631;Amazonas
2016;0,14757596818708318;Beruri;1300631;Amazonas
2017;0,011480084464140122;Beruri;1300631;Amazonas
2018;0,011480084464140122;Beruri;1300631;Amazonas
2019;0,244818933438732;Beruri;1300631;Amazonas
2020;0,12042359886351996;Beruri;1300631;Amazonas
2021;0,038757819406594105;Beruri;1300631;Amazonas
2022;0,04200656331285477;Beruri;1300631;Amazonas
2023;0,1160644423769839;Beruri;1300631;Amazonas
2000;74,83482099047384;Boa Vista do Ramos;1300680;Amazonas
2001;7,106579748762534;Boa Vista do Ramos;1300680;Amazonas
2002;7,106579748762534;Boa Vista do Ramos;1300680;Amazonas
2003;3,8734161859608016;Boa Vista do Ramos;1300680;Amazonas
2004;3,8734161859608016;Boa Vista do Ramos;1300680;Amazonas
2005;5,23717734919985;Boa Vista do Ramos;1300680;Amazonas
2006;5,23717734919985;Boa Vista do Ramos;1300680;Amazonas
2007;1,4374251694708609;Boa Vista do Ramos;1300680;Amazonas
2008;1,4374251694708609;Boa Vista do Ramos;1300680;Amazonas
2009;2,17426700004567;Boa Vista do Ramos;1300680;Amazonas
2010;2,17426700004567;Boa Vista do Ramos;1300680;Amazonas
2011;1,3637296884737582;Boa Vista do Ramos;1300680;Amazonas
2012;1,3637296884737582;Boa Vista do Ramos;1300680;Amazonas
2013;1,3637296884737582;Boa Vista do Ramos;1300680;Amazonas
2014;6,128313730035297;Boa Vista do Ramos;1300680;Amazonas
2015;0,7294100436518788;Boa Vista do Ramos;1300680;Amazonas
2016;0,7294100436518788;Boa Vista do Ramos;1300680;Amazonas
2017;0,5870981125109218;Boa Vista do Ramos;1300680;Amazonas
