year,month,municipality,deaths,DiaSemChuva,Precipitacao,RiscoFogo,FRP,area_desmatada_km2
2020,1,PRESIDENTE FIGUEIREDO,2.0,0.0,5.7,0.0,6.1,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,1.0,3.9,0.0,30.4,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,1.0,3.5,0.0,6.6,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,1.0,3.7,0.0,21.5,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,2.0,0.3,0.4,11.2,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,2.0,0.4,0.2,10.8,0
2020,1,RIO PRETO DA EVA,1.0,4.0,0.3,0.0,7.6,0
2020,1,RIO PRETO DA EVA,1.0,3.0,0.3,0.0,6.6,0
2020,1,RIO PRETO DA EVA,1.0,3.0,0.2,0.0,11.1,0
2020,1,SANTA ISABEL DO RIO NEGRO,0.0,1.0,0.4,0.1,11.3,"0,03816654532211613"
2020,1,SANTA ISABEL DO RIO NEGRO,0.0,3.0,0.0,0.1,24.0,"0,03816654532211613"
2020,1,SANTA ISABEL DO RIO NEGRO,0.0,0.0,0.0,0.0,14.9,"0,03816654532211613"
2020,1,SANTO ANTONIO DO ICA,1.0,,,,,0
2020,1,SAO GABRIEL DA CACHOEIRA,4.0,,,,,0
2020,1,SAO PAULO DE OLIVENCA,2.0,,,,,"0,02822452702261135"
2020,1,SAO SEBASTIAO DO UATUMA,0.0,,,,,"0,04144927341110398"
2020,1,SILVES,0.0,4.0,0.0,0.0,11.7,"0,5912688068283023"
2020,1,TABATINGA,0.0,,,,,0
2020,1,TAPAUA,0.0,,,,,"0,1372818034857458"
2020,1,TEFE,4.0,,,,,0
2020,1,TONANTINS,0.0,,,,,"0,02335801536036927"
2020,1,UARINI,2.0,4.0,0.0,0.1,22.7,0
2020,1,UARINI,2.0,5.0,0.0,0.0,21.3,0
2020,1,UARINI,2.0,5.0,0.0,0.0,24.1,0
2020,1,UARINI,2.0,4.0,0.0,0.0,19.1,0
2020,1,UARINI,2.0,5.0,0.0,0.1,32.4,0
2020,1,UARINI,2.0,5.0,0.0,0.1,24.2,0
2020,1,URUCARA,0.0,,,,,"1,5470729402298644"
2020,1,URUCURITUBA,0.0,1.0,0.7,0.0,11.2,"4,106294031873695"
2020,1,URUCURITUBA,0.0,1.0,0.7,-999.0,7.6,"4,106294031873695"
2020,1,URUCURITUBA,0.0,4.0,3.3,0.0,59.2,"4,106294031873695"
2020,1,URUCURITUBA,0.0,0.0,0.3,0.1,17.8,"4,106294031873695"
2020,1,URUCURITUBA,0.0,0.0,0.3,0.0,18.4,"4,106294031873695"
2020,1,,135.0,,,,,
2020,2,ALVARAES,1.0,,,,,0
2020,2,AMATURA,0.0,,,,,"0,0930053529973859"
2020,2,ANAMA,0.0,,,,,"0,014931801211841986"
2020,2,ANORI,0.0,,,,,0
2020,2,APUI,0.0,,,,,"0,3544249085385369"
2020,2,ATALAIA DO NORTE,0.0,,,,,0
